Item Name,Course of Action,Market Price,Cheapest Buy/Craft Price,Profit (Flat),Profit Ratio,Total Crafting Time,Profit Per Hour
Maple Plywood,Craft,11900,8800.0,1255.5,0.14267045454545454,12.0,376650.0
Maple Timber,Market Buy,1100,1100.0,-170.5,-0.155,0.0,0.0
Meat Stew,Market Buy,7650,7650.0,-1185.75,-0.155,0.0,0.0
Melted Copper Shard,Craft,1050,526.0,361.25,0.686787072243346,3.6,361250.0
Melted Iron Shard,Craft,2400,1020.0,1008.0,0.9882352941176471,3.6,1008000.0
Melted Lead Shard,Market Buy,1270,1270.0,-196.85000000000014,-0.1550000000000001,0.0,0.0
Melted Tin Shard,Craft,3530,3340.0,-357.1500000000001,-0.10693113772455093,3.6,-357150.00000000006
Melted Zinc Shard,Market Buy,8400,8400.0,-1302.0,-0.155,0.0,0.0
Mineral Water,Market Buy,30,30.0,-4.650000000000002,-0.15500000000000008,0.0,0.0
Moss Tree Plank,Craft,1360,850.0,299.20000000000005,0.35200000000000004,2.4,448800.00000000006
Moss Tree Plywood,Craft,13600,3400.0,8092.0,2.38,12.0,2427600.0
Moss Tree Timber,Market Buy,425,425.0,-65.875,-0.155,0.0,0.0
MP Potion (Medium),Craft,120,57.6,43.79999999999999,0.7604166666666665,2.4,65699.99999999999
MP Potion (Small),Market Buy,48,48.0,-7.439999999999998,-0.15499999999999994,0.0,0.0
Mud Crystal,Market Buy,5850,5850.0,-906.75,-0.155,0.0,0.0
Noc Ore,Market Buy,2010,2010.0,-311.54999999999995,-0.15499999999999997,0.0,0.0
Palm Plank,Craft,1590,796.0,547.55,0.6878768844221105,2.4,821324.9999999999
Palm Plywood,Craft,12700,3184.0,7547.5,2.3704459798994977,12.0,2264250.0
Palm Timber,Market Buy,398,398.0,-61.69,-0.155,0.0,0.0
Pine Plank,Craft,2110,1740.0,42.950000000000045,0.02468390804597704,2.4,64425.00000000007
Pine Plywood,Craft,11400,6960.0,2673.0,0.38405172413793104,12.0,801900.0
Pine Sap,Market Buy,4970,4970.0,-770.3500000000004,-0.15500000000000008,0.0,0.0
Pine Timber,Market Buy,870,870.0,-134.85000000000002,-0.15500000000000003,0.0,0.0
Platinum Ore,Market Buy,2410,2410.0,-373.54999999999995,-0.15499999999999997,0.0,0.0
Plywood Hardener,Craft,324000,94428.79271070614,179351.20728929387,1.8993275476766676,6.396355353075171,100942538.46153848
Pork,Market Buy,8050,8050.0,-1247.75,-0.155,0.0,0.0
Powder of Darkness,Market Buy,1870,1870.0,-289.85000000000014,-0.15500000000000008,0.0,0.0
Processed Coal,Craft,3620,2160.0,898.9000000000001,0.4161574074074075,2.4,1348350.0000000002
Pure Copper Crystal,Craft,126000,66524.8,39945.2,0.600455769878301,22.560000000000002,6374234.04255319
Pure Iron Crystal,Craft,105000,86762.14480468989,1962.8551953101123,0.02262340563074705,28.41027036103408,248722.68420254503
Pure Powder Reagent,Craft,2520,1390.8,738.6000000000001,0.5310612597066438,3.3600000000000003,791357.142857143
Pure Tin Crystal,Craft,93500,74200.0,4807.5,0.0647911051212938,2.4,7211250.0
Pure Zinc Crystal,Market Buy,67500,67500.0,-10462.5,-0.155,0.0,0.0
Purified Water,Craft,4800,2400.0,1656.0,0.69,2.4,2484000.0
Resplendent Emerald,Craft,51000,24867.374005305042,18227.625994694958,0.7329935999999998,7.174535809018567,9146160.15971606
Rough Emerald,Market Buy,6250,6250.0,-968.75,-0.155,0.0,0.0
Rough Mud Crystal,Market Buy,11200,11200.0,-1736.0,-0.155,0.0,0.0
Salt,Market Buy,20,20.0,-3.1000000000000014,-0.15500000000000008,0.0,0.0
Shining Fluid Collector,Craft,200000,116862.14480468989,52137.85519531011,0.44614836808315816,1847.610270361034,101588.67468648539
Shining Steel Butcher Knife,Craft,281000,167422.1448046899,70022.85519531011,0.4182412982284803,1850.0102703610341,136259.93473750926
Shining Steel Hoe,Craft,197000,117962.14480468989,48502.85519531011,0.4111730528095803,1847.610270361034,94506.01217376677
Shining Steel Lumbering Axe,Craft,143000,122162.14480468989,-1327.1448046898877,-0.010863797511182348,1857.210270361034,-2572.525778653392
Shining Steel Pickaxe,Market Buy,74500,74500.0,-11547.5,-0.155,0.0,0.0
Shining Steel Tanning Knife,Market Buy,92500,92500.0,-14337.5,-0.155,0.0,0.0
Ship License: Fishing Boat,Craft,5950000,1770760.0,3256990.0,1.8393175811515958,90732.0,129228.54119825418
Silver Azalea,Market Buy,217,217.0,-33.63500000000002,-0.15500000000000008,0.0,0.0
Spirit's Leaf,Market Buy,2250,2250.0,-348.75,-0.155,0.0,0.0
Steel,Craft,8000,4200.0,2560.0,0.6095238095238096,9.6,960000.0000000001
Steel Taritas Armor,Craft,306000,117500.0,141070.0,1.200595744680851,70.56,7197448.979591837
Steel Taritas Gloves,Craft,220000,148780.0,37120.0,0.24949589998655733,45.6,2930526.3157894737
Steel Taritas Helmet,Craft,265000,57660.0,166265.0,2.8835414498785985,30.24,19793452.38095238
Steel Taritas Shoes,Craft,224000,84220.0,105060.0,1.2474471621942531,42.72,8853370.786516855
Sturdy Acacia Plywood,Craft,268000,163234.55125284736,63225.44874715264,0.38732883609437296,58.07562642369021,3919227.901722678
Sturdy Ash Plywood,Craft,447000,156243.18906605922,221471.81093394078,1.4174813779581974,72.59453302961276,10982900.31064671
Sturdy Birch Plywood,Craft,466000,141634.55125284736,252135.44874715264,1.78018320047513,19.675626423690204,46132590.44178939
Sturdy Cedar Plywood,Market Buy,109000,109000.0,-16895.0,-0.155,0.0,0.0
Sturdy Elder Tree Plywood,Craft,465000,127170.55125284738,265754.44874715264,2.0897483429065686,58.07562642369021,16473623.693871785
Sturdy Fir Plywood,Market Buy,155000,155000.0,-24025.0,-0.155,0.0,0.0
Sturdy Loopy Tree Plywood,Craft,595000,170514.55125284736,332260.44874715264,1.9485753345147683,10.075626423690204,118715955.23602824
Sturdy Maple Plywood,Craft,530000,148514.55125284736,299335.44874715264,2.0155294294195545,58.07562642369021,18555247.387743574
Sturdy Moss Tree Plywood,Craft,418000,126914.55125284738,226295.44874715264,1.7830536097969745,58.07562642369021,14027633.719288336
Sturdy Palm Plywood,Craft,510000,126050.55125284738,304899.44874715264,2.4188664445865737,58.07562642369021,18900149.392826885
Sturdy Pine Plywood,Craft,490000,141154.55125284736,272895.44874715264,1.933309598061209,58.07562642369021,16916280.994069472
Sturdy Thuja Plywood,Craft,590000,128674.55125284738,369875.44874715264,2.8745035062942788,58.07562642369021,22927890.708839312
Sugar,Market Buy,20,20.0,-3.1000000000000014,-0.15500000000000008,0.0,0.0
Sunrise Herb,Market Buy,189,189.0,-29.295000000000016,-0.15500000000000008,0.0,0.0
Thuja Plank,Craft,1810,960.0,569.45,0.5931770833333334,2.4,854175.0000000001
Thuja Plywood,Craft,14700,3840.0,8581.5,2.234765625,12.0,2574450.0
Thuja Timber,Market Buy,480,480.0,-74.40000000000003,-0.15500000000000008,0.0,0.0
Tin Ingot,Market Buy,8500,8500.0,-1317.5,-0.155,0.0,0.0
Tin Ore,Market Buy,1670,1670.0,-258.85000000000014,-0.15500000000000008,0.0,0.0
Titanium Ore,Market Buy,2740,2740.0,-424.7000000000003,-0.1550000000000001,0.0,0.0
Trace of Forest,Market Buy,27100,27100.0,-4200.5,-0.155,0.0,0.0
Trace of Origin,Market Buy,62000,62000.0,-9610.0,-0.155,0.0,0.0
Trace of Savagery,Market Buy,33700,33700.0,-5223.5,-0.155,0.0,0.0
Trace of the Earth,Market Buy,39800,39800.0,-6169.0,-0.155,0.0,0.0
Vanadium Ore,Market Buy,2800,2800.0,-434.0,-0.155,0.0,0.0
Weeds,Market Buy,840,840.0,-130.20000000000005,-0.15500000000000005,0.0,0.0
Whale Tendon Elixir,Market Buy,1290000,1290000.0,-199950.0,-0.155,0.0,0.0
Whale Tendon Potion,Market Buy,645000,645000.0,-99975.0,-0.155,0.0,0.0
Wheat,Market Buy,920,920.0,-142.60000000000002,-0.15500000000000003,0.0,0.0
Wheat Flour,Craft,1500,368.0,899.5,2.4442934782608696,2.4,1349250.0
White Cedar Plank,Craft,2050,2000.0,-267.75,-0.133875,2.4,-401625.0
White Cedar Plywood,Craft,12600,8000.0,2647.0,0.330875,12.0,794100.0
White Cedar Timber,Market Buy,1000,1000.0,-155.0,-0.155,0.0,0.0
Wild Grass,Market Buy,1000,1000.0,-155.0,-0.155,0.0,0.0
Wolf Blood,Market Buy,2640,2640.0,-409.2000000000003,-0.1550000000000001,0.0,0.0
Worm Hide,Market Buy,7250,7250.0,-1123.75,-0.155,0.0,0.0
Yak Hide,Market Buy,8100,8100.0,-1255.5,-0.155,0.0,0.0
Zinc Ingot,Craft,47300,33600.0,6368.5,0.18953869047619049,2.4,9552750.000000002
Zinc Ore,Market Buy,4540,4540.0,-703.7000000000003,-0.15500000000000005,0.0,0.0
